date,coordinates
20221015,"-120.6063, 50.57095"
20220711,"-121.453683, 49.920383"
20220821,"-118.19125, 50.92605"
20220722,"-117.275317, 49.6665"
20220728,"-121.341417, 51.234217"
20220408,"-120.077617, 50.7645"
20220809,"-125.4645, 49.45695"
20220830,"-121.712894, 56.156916"
20220812,"-117.863133, 50.50095"
20220801,"-119.952467, 51.584083"
20220802,"-118.288333, 50.643017"
20220811,"-118.554533, 52.019483"
20220827,"-117.157583, 49.633"
20220804,"-118.062767, 50.713867"
20220819,"-121.892667, 51.519717"
20220813,"-128.62455, 56.31305"
20220812,"-117.930683, 49.711767"
20221003,"-121.002333, 50.765533"
